name,latitude,longitude,free_bikes,empty_slots,number_of_bikes
Hess at king,43.259125842121065,-79.87721174955368,4,8,12
Bayfront Park,43.269288276229105,-79.87132698297499,8,24,32
Bay at Strachan,43.26785864558976,-79.8679232597351,4,21,25
Bay at Mulberry,43.263198441574474,-79.87180307507515,7,7,14
City Hall,43.2561324863605,-79.8744987564414,4,13,17
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11
James S at Charlton,43.2496354495324,-79.8720555723035,6,3,9
Oxford at York,43.26456372689135,-79.8777937889099,2,10,12
Queen at Peter,43.2618861338306,-79.877606006297,5,7,12
West at Cannon,43.257877862291,-79.8561337635964,0,13,13
Forsyth at Sterling,43.26271404114188,-79.91580605506897,1,34,35
Gage at Cannon - ERI11,43.25112644429895,-79.82740849256516,4,5,9
H.A.A.A. Park,43.2540651616154,-79.8819466027797,6,4,10
Hunter at Hess,43.255383107655966,-79.87889617681503,1,15,16
Dunsmure at Sherman - ERI10,43.24943274108067,-79.8388883471489,0,9,9
King at Dunsmure - ERI09,43.24634382646498,-79.82685998082161,4,5,9
Locke at Napier,43.2628018805713,-79.8827367298478,2,10,12
York at Inchbury,43.2659146108256,-79.8819495909127,4,9,13
Aberdeen at Queen,43.2488085584277,-79.8836993988543,3,10,13
King at Dundurn,43.26240933566922,-79.88798081874847,6,4,10
Main at Dundurn,43.25966301112219,-79.8892092704773,5,5,10
Dundurn St S,43.2548127612063,-79.8909067737901,3,9,12
McMaster Mary Keyes,43.262460120020584,-79.92224670946598,10,2,12
McMaster Health Sciences,43.26053126154136,-79.91824820637703,23,7,30
McMaster Arthur Bourns,43.2599690032886,-79.922358671032,19,0,19
McMaster Emerson,43.258038792898375,-79.91978779435158,14,6,20
Longwood at Edgevale,43.2662112220324,-79.8993094512,7,6,13
Longwood at King,43.2630174571678,-79.9009418422827,1,9,10
Chedoke Stairs,43.2460802627748,-79.90823779724,4,7,11
McMaster Innovation Park,43.25656885270854,-79.9011692404747,11,6,17
Macklin at King,43.2621672804245,-79.8964982026467,4,10,14
Dundurn at Aberdeen,43.251458458948996,-79.89265590906143,5,19,24
Dundurn Stairs,43.2465214141618,-79.8947787566411,9,2,11
Cootes Drive Dundas,43.26547419149645,-79.94765996932983,1,0,1
Princess Point,43.2729912871819,-79.8945270389426,5,7,12
Pearl Street Bridge,43.25650634283747,-79.88345324993132,3,9,12
Rail Trail at Emerson,43.2546745875963,-79.9208028150996,3,13,16
Westdale Library,43.262715994377196,-79.90359663963316,6,2,8
Emerson at Whitney,43.2521423210113,-79.9222158171462,9,6,15
Sterling at Whitton,43.2622271626907,-79.9133658840373,9,2,11
Sterling at Haddon,43.26202552179778,-79.91026729345322,0,12,12
Sanders at Hollywood,43.2599031676959,-79.9264810904732,3,9,12
King at Cline,43.2605367847852,-79.9092948353051,0,12,12
Rail Trail at Stroud,43.2535916384655,-79.9166152756283,9,1,10
Main at Columbia College,43.2585671813327,-79.90785866975784,4,8,12
King Street Dundas,43.26595632543361,-79.95375394821166,1,0,1
Hunter GO Centre,43.25343546641674,-79.86948698759079,8,8,16
Park at Robinson,43.2515957745917,-79.8749090863127,3,6,9
Main at Dalewood,43.25802547698811,-79.91383865476678,2,8,10
John at Main,43.254529435061336,-79.86718028783798,2,10,12
Stadium,43.25161474646046,-79.83134329318999,2,29,31
Osler at Main,43.2572539435115,-79.9342255404988,2,7,9
Main at Whitney,43.25205234935895,-79.93979036808014,5,3,8
Osler at Grant,43.2595496051254,-79.9426434441838,4,7,11
270 Sherman,43.26044140942891,-79.83437284827232,3,7,10
Sanders at Binkley,43.25875372772543,-79.92979913949966,3,7,10
Whitney at Lower Horning,43.2518522355378,-79.9354198942367,5,6,11
James North at Mulberry,43.26181945279216,-79.86674308776855,9,10,19
Frid at Main,43.25940517059312,-79.89262372255325,2,8,10
Gore Park,43.256316859398744,-79.86866354942322,3,13,16
Stinson at West,43.2494985579078,-79.859726111821,5,7,12
King William at Victoria,43.254154362311304,-79.85582381486893,3,7,10
Wentworth at King,43.25199038416551,-79.84910354018211,8,4,12
Cannon at Wentworth - 96,43.2559617394464,-79.8475054418754,3,5,8
Haymarket at Hughson,43.2523698048509,-79.86883386969566,5,7,12
Bay at Macaulay,43.272362258983364,-79.86627101898192,3,7,10
Rifle Range at Rail Trail,43.2554850097816,-79.9298771288198,7,9,16
Hill Street Park,43.25672417073905,-79.88822355870525,4,6,10
Seedworks,43.25911119199103,-79.86361294984816,4,3,7
Gage Park,43.24344818701565,-79.83040988445282,2,22,24
Delaware at Myrtle,43.2480454302898,-79.8495236914621,1,12,13
Maplewood at Springer,43.245150946389735,-79.83708053827286,4,9,13
Cannon at Birch (Powell Park),43.25504613306136,-79.84128892421722,1,11,12
Cannon at Sherman,43.2533992835566,-79.8374917817979,2,6,8
