station_name,station_latitude,station_longitude,free_bikes,number_of_bikes,poi_name,poi_categories,poi_address,poi_distance,poi_latitude,poi_longitude,poi_ratings,poi_review_count
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Pho Hamilton,Vietnamese,"115 Park Street N,Hamilton, ON L8R 2N2,Canada",889.5281662409875,43.261299,-79.8707656,4.5,6
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Smalls Coffee,Coffee & Tea,"8 Cannon Street E,Hamilton, ON L8L 1Z5,Canada",1036.8145562636137,43.2605099,-79.86695,4.5,13
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Mesa,Mexican,"255 James Street N,Hamilton, ON L8R 2L2,Canada",795.332660078304,43.26306,-79.86645,4.0,57
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Harbour Diner,Diners,"486 James Street N,Hamilton, ON L8L 1J1,Canada",649.5871240077972,43.2694,-79.86329,3.5,57
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Pho Dui Bo,Vietnamese,"15 Cannon Street E,Unit 2,Hamilton, ON L8L,Canada",1019.7476694497,43.2607973988137,-79.8665680736303,3.5,28
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Gate of India,Indian,"201 James Street N,Hamilton, ON L8R 2L2,Canada",901.0291172159108,43.2618967,-79.866767,3.0,26
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Dunas Verdes Cafe,Cafes,"253 James St N,Hamilton, ON L8R 2L2,Canada",798.0543494073052,43.26303,-79.86658,3.5,7
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,The Brain,Bars,"199 James St N,Hamilton, ON L8R 2L1,Canada",893.277963916912,43.26193,-79.86695,4.0,19
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Ola Bakery & Pastries,Bakeries,"224-246 James Street N,Hamilton, ON L8R 2L2,Canada",866.0359055538281,43.2623517020394,-79.8664631556007,4.5,12
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",583.0459379057457,43.2627364,-79.8663839,4.0,118
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,La Luna,Middle Eastern,"306 King Street W,Hamilton, ON L8P 1B1,Canada",1269.5961780311338,43.25942165323912,-79.87848757635106,4.0,63
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,August 8,Japanese,"1 Wilson Street,Suite 12,Hamilton, ON L8R,Canada",935.608571445336,43.25943,-79.86708,4.0,122
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Synonym,Cafes,"328 James Street N,Hamilton, ON L8L 1H2,Canada",417.3937021756852,43.264596686727,-79.8653724789619,4.5,12
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Saint James Espresso Bar & Eatery,Cafes,"170 James Street N,Hamilton, ON L8R 2L1,Canada",764.659481259404,43.26098,-79.86693,4.5,57
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Born and Raised,Seafood,"224 James Street N,Hamilton, ON L8R 2L3,Canada",618.1429753305657,43.26235,-79.86626,3.5,23
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Mulberry Coffeehouse,Cafes,"193 James Street N,Hamilton, ON L8R 2L2,Canada",679.5655940089003,43.26183,-79.86699,4.0,74
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,The Burnt Tongue,Burgers,"10 Cannon St E,Hamilton, ON L8L 1Z5,Canada",813.4479944796863,43.2605786,-79.8669351,4.0,87
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Pho Nhung,Vietnamese,"85 Queen St N,Hamilton, ON L8R 2V5,Canada",1030.7711263594738,43.26239,-79.87797,4.5,17
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Green Bar,Juice Bars & Smoothies,"236 James Street N,Hamilton, ON L8R 2L2,Canada",583.2430979153173,43.2627485834705,-79.8662985122842,4.5,17
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Harbour Diner,Diners,"486 James Street N,Hamilton, ON L8L 1J1,Canada",411.0870863078402,43.2694,-79.86329,3.5,57
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Mesa,Mexican,"255 James Street N,Hamilton, ON L8R 2L2,Canada",545.0803595860071,43.26306,-79.86645,4.0,57
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Hutch's Harbour Front,Fish & Chips,"325 Bay Street N,Hamilton, ON L8L 1M5,Canada",29.01476989911075,43.26768,-79.86827,3.0,16
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,The Coop,Sandwiches,"274-274 King Street W,Hamilton, ON L8P 1J6,Canada",1238.926704137823,43.2591337,-79.8774391,4.0,43
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Pho Hamilton,Vietnamese,"115 Park Street N,Hamilton, ON L8R 2N2,Canada",764.8468888985551,43.261299,-79.8707656,4.5,6
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Buona Vita Pizza,Italian,"82 Queen Street  N,Hamilton, ON L8R 2V4,Canada",1016.3837198066152,43.262024,-79.8775857,4.5,13
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Smalls Coffee,Coffee & Tea,"8 Cannon Street E,Hamilton, ON L8L 1Z5,Canada",820.0864445562072,43.2605099,-79.86695,4.5,13
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Castelli Cucina,Italian,"337 James Street N,Hamilton, ON L8L 1H3,Canada",375.9772624234339,43.26492,-79.86576,3.5,10
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Pho Dui Bo,Vietnamese,"15 Cannon Street E,Unit 2,Hamilton, ON L8L,Canada",792.80468575968,43.2607973988137,-79.8665680736303,3.5,28
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,NOODLE ME,Noodles,"1 Wilson Street,Unit 7,Hamilton, ON L8R 1C4,Canada",935.608571445336,43.25943,-79.86708,4.0,24
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Hambrgr,Burgers,"49 King William Street,Hamilton, ON L8R 1A2,Canada",772.6327741353772,43.25721,-79.8669,4.5,202
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,The Mule,Mexican,"41 King William Street,Hamilton, ON L8R 1A2,Canada",758.954825575541,43.25726,-79.86713,4.0,177
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Berkeley North,Bars,"31 King William Street,Hamilton, ON L8R 1A1,Canada",724.3432431111585,43.2574045478956,-79.8677145254958,4.5,43
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",441.8086991217038,43.2627364,-79.8663839,4.0,118
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,The French,Bistros,"37 King William Street,Hamilton, ON L8R 1A1,Canada",734.6326065373987,43.25741,-79.86748,4.0,98
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,August 8,Japanese,"1 Wilson Street,Suite 12,Hamilton, ON L8R,Canada",564.1628112857588,43.25943,-79.86708,4.0,122
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Pho Hamilton,Vietnamese,"115 Park Street N,Hamilton, ON L8R 2N2,Canada",227.3024363784246,43.261299,-79.8707656,4.5,6
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Born and Raised,Seafood,"224 James Street N,Hamilton, ON L8R 2L3,Canada",445.9030296945935,43.26235,-79.86626,3.5,23
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Mulberry Coffeehouse,Cafes,"193 James Street N,Hamilton, ON L8R 2L2,Canada",420.3524169179845,43.26183,-79.86699,4.0,74
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Saint James Espresso Bar & Eatery,Cafes,"170 James Street N,Hamilton, ON L8R 2L1,Canada",461.2000937326092,43.26098,-79.86693,4.5,57
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,La Luna,Middle Eastern,"306 King Street W,Hamilton, ON L8P 1B1,Canada",685.0945217577366,43.25942165323912,-79.87848757635106,4.0,63
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,The Works,Burgers,"2 King Street W,Unit 230,Hamilton, ON L8P 1A2,Canada",635.7859810521345,43.2574961574363,-79.8712256690338,4.0,37
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Redchurch Cafe + Gallery,Cafes,"68 King Street E,Hamilton, ON L8N 1A6,Canada",927.8834748845034,43.25551,-79.86725,4.5,23
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,Indian,"43 King William Street,Hamilton, ON L8R 1A2,Canada",764.5387203438967,43.25725,-79.86708,4.0,40
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,The Burnt Tongue,Burgers,"10 Cannon St E,Hamilton, ON L8L 1Z5,Canada",490.1483046394623,43.2605786,-79.8669351,4.0,87
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Pho Nhung,Vietnamese,"85 Queen St N,Hamilton, ON L8R 2V5,Canada",502.1652102775229,43.26239,-79.87797,4.5,17
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Ajio Sushi,Japanese,"161 King Street E,Hamilton, ON L8R 1J6,Canada",1074.002879363532,43.21798,-79.74587,4.0,41
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Green Bar,Juice Bars & Smoothies,"236 James Street N,Hamilton, ON L8R 2L2,Canada",448.5235287693623,43.2627485834705,-79.8662985122842,4.5,17
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,D's Cafe Bubble Tea,Bubble Tea,"94 Cannon Street W,Unit 2,Hamilton, ON L8R 2B6,Canada",134.63389025801527,43.26193,-79.87164,4.0,14
Bay at Mulberry,43.26319844157448,-79.87180307507515,9,14,Buona Vita Pizza,Italian,"82 Queen Street  N,Hamilton, ON L8R 2V4,Canada",486.1138138415881,43.262024,-79.8775857,4.5,13
City Hall,43.2561324863605,-79.8744987564414,7,16,The Ship,Seafood,"23 Augusta Street,Hamilton, ON L8N 1P6,Canada",573.3439193246847,43.25215,-79.87,4.0,208
City Hall,43.2561324863605,-79.8744987564414,7,16,Hambrgr,Burgers,"49 King William Street,Hamilton, ON L8R 1A2,Canada",624.3597694948429,43.25721,-79.8669,4.5,202
City Hall,43.2561324863605,-79.8744987564414,7,16,Berkeley North,Bars,"31 King William Street,Hamilton, ON L8R 1A1,Canada",567.3170618031849,43.2574045478956,-79.8677145254958,4.5,43
City Hall,43.2561324863605,-79.8744987564414,7,16,The Mule,Mexican,"41 King William Street,Hamilton, ON L8R 1A2,Canada",599.6280119911215,43.25726,-79.86713,4.0,177
City Hall,43.2561324863605,-79.8744987564414,7,16,The Works,Burgers,"2 King Street W,Unit 230,Hamilton, ON L8P 1A2,Canada",305.36869118170785,43.2574961574363,-79.8712256690338,4.0,37
City Hall,43.2561324863605,-79.8744987564414,7,16,The French,Bistros,"37 King William Street,Hamilton, ON L8R 1A1,Canada",588.9193688858683,43.25741,-79.86748,4.0,98
City Hall,43.2561324863605,-79.8744987564414,7,16,La Luna,Middle Eastern,"306 King Street W,Hamilton, ON L8P 1B1,Canada",487.9598342952772,43.25942165323912,-79.87848757635106,4.0,63
City Hall,43.2561324863605,-79.8744987564414,7,16,Radius,Lounges,"151 James Street S,Hamilton, ON L8P 2Z5,Canada",514.6893854561074,43.2523512,-79.8708333,3.0,91
City Hall,43.2561324863605,-79.8744987564414,7,16,Redchurch Cafe + Gallery,Cafes,"68 King Street E,Hamilton, ON L8N 1A6,Canada",586.4644007855065,43.25551,-79.86725,4.5,23
City Hall,43.2561324863605,-79.8744987564414,7,16,Famous Recipe,Caribbean,"158 King Street W,Hamilton, ON L8P 1A6,Canada",218.68607589718695,43.2580694,-79.8740306,5.0,9
City Hall,43.2561324863605,-79.8744987564414,7,16,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",985.4165415124764,43.2627364,-79.8663839,4.0,118
City Hall,43.2561324863605,-79.8744987564414,7,16,August 8,Japanese,"1 Wilson Street,Suite 12,Hamilton, ON L8R,Canada",705.7839219960441,43.25943,-79.86708,4.0,122
City Hall,43.2561324863605,-79.8744987564414,7,16,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,Indian,"43 King William Street,Hamilton, ON L8R 1A2,Canada",613.2118791141473,43.25725,-79.86708,4.0,40
City Hall,43.2561324863605,-79.8744987564414,7,16,Saint James Espresso Bar & Eatery,Cafes,"170 James Street N,Hamilton, ON L8R 2L1,Canada",817.3020573011734,43.26098,-79.86693,4.5,57
City Hall,43.2561324863605,-79.8744987564414,7,16,Ajio Sushi,Japanese,"161 King Street E,Hamilton, ON L8R 1J6,Canada",833.1773914686371,43.21798,-79.74587,4.0,41
City Hall,43.2561324863605,-79.8744987564414,7,16,Moodys,Pizza,"107 George Street,Hamilton, ON L8P 1E3,Canada",398.8172343996338,43.25821,-79.87853,4.0,13
City Hall,43.2561324863605,-79.8744987564414,7,16,The Coop,Sandwiches,"274-274 King Street W,Hamilton, ON L8P 1J6,Canada",409.9582906197975,43.2591337,-79.8774391,4.0,43
City Hall,43.2561324863605,-79.8744987564414,7,16,Bronzie's Place,Pizza,"201 James Street S,Hamilton, ON L8P 3A8,Canada",667.733446342609,43.2505499,-79.87143,4.5,27
City Hall,43.2561324863605,-79.8744987564414,7,16,Electric Diner,Diners,"96 George Street,Hamilton, ON L8P 3M8,Canada",379.6948052306955,43.25845,-79.878,3.5,17
City Hall,43.2561324863605,-79.8744987564414,7,16,Planted in Hamilton,Vegan,"225 John Street S,Hamilton, ON L8N 2C7,Canada",834.1386461147556,43.2503352762455,-79.8679620207627,4.5,37
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,The Ship,Seafood,"23 Augusta Street,Hamilton, ON L8N 1P6,Canada",475.0699065621582,43.25215,-79.87,4.0,208
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Hambrgr,Burgers,"49 King William Street,Hamilton, ON L8R 1A2,Canada",781.9427408135574,43.25721,-79.8669,4.5,202
