bike_station,name,categories,address,distance,poi_latitude,poi_longitude,ratings,total_ratings,total_tips,total_photos
Bay at Mulberry,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",668,43.259332,-79.878032,4.0,11.0,2.0,13.0
Bay at Mulberry,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",641,43.259153,-79.877446,3.9,13.0,2.0,7.0
Bay at Mulberry,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",748,43.257258,-79.867202,4.4,54.0,14.0,83.0
Bay at Mulberry,Hess Village,Neighborhood,Hamilton ON,700,43.258514,-79.877755,4.0,18.0,3.0,9.0
Bay at Mulberry,Hutch's Harbour Front,Fish and Chips Shop,"325 Bay St N, Hamilton ON L8L 1M5",581,43.267592,-79.868115,3.5,20.0,5.0,10.0
Bay at Mulberry,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",769,43.257213,-79.867056,4.2,22.0,22.0,122.0
Bay at Mulberry,Hambrgr,Burger Joint,"49 King William St, Hamilton ON L8R 1A2",778,43.257213,-79.867056,4.2,51.0,13.0,34.0
Bay at Mulberry,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",766,43.259057,-79.879423,4.0,8.0,2.0,19.0
City Hall,Whitehern Historic House and Garden,Museum,"41 Jackson St W, Hamilton ON L8P 1L3",281,43.254593,-79.87211,4.0,8.0,4.0,46.0
City Hall,Hess Village,Neighborhood,Hamilton ON,357,43.258514,-79.877755,4.0,18.0,3.0,9.0
City Hall,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",415,43.259271,-79.877373,4.0,9.0,2.0,6.0
City Hall,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",415,43.259153,-79.877446,3.9,13.0,2.0,7.0
City Hall,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",488,43.259414,-79.878417,4.3,35.0,15.0,8.0
City Hall,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",465,43.259332,-79.878032,4.0,11.0,2.0,13.0
City Hall,Hamilton Farmers' Market,Farmers Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",502,43.259041,-79.870193,4.3,90.0,14.0,80.0
City Hall,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",421,43.258502,-79.878634,3.7,58.0,20.0,36.0
City Hall,One Duke Restaurant & Lounge,American Restaurant,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",525,43.251462,-79.872017,4.3,46.0,20.0,154.0
City Hall,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",513,43.259057,-79.879423,4.0,8.0,2.0,19.0
City Hall,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",585,43.257258,-79.867202,4.4,54.0,14.0,83.0
City Hall,The Ship,Pub,"23 Augusta St (Hughson St.), Hamilton ON L8N 1P6",574,43.252066,-79.869987,4.2,101.0,37.0,88.0
City Hall,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",597,43.257213,-79.867056,4.2,22.0,22.0,122.0
